"id" "sample" "type"
"1" "PD42795b" "PD42795" "normal"
"2" "PD42795a" "PD42795" "tumour"
"3" "PD42795c" "PD42795" "dediff"
"4" "PD42796b" "PD42796" "normal"
"5" "PD42796a" "PD42796" "tumour"
"6" "PD42796c" "PD42796" "dediff"
"7" "PD42797b" "PD42797" "normal"
"8" "PD42797a" "PD42797" "tumour"
"9" "PD42797c" "PD42797" "dediff"
"10" "PD42798b" "PD42798" "normal"
"11" "PD42798a" "PD42798" "tumour"
"12" "PD42798c" "PD42798" "dediff"
"13" "PD42799b" "PD42799" "normal"
"14" "PD42799a" "PD42799" "dediff"
"15" "PD42800b" "PD42800" "normal"
"16" "PD42800c" "PD42800" "normal"
"17" "PD42800a" "PD42800" "tumour"
"18" "PD42800d" "PD42800" "dediff"
"19" "PD45781b" "PD45781" "normal"
"20" "PD45781d" "PD45781" "normal"
"21" "PD45781c" "PD45781" "tumour"
"22" "PD45781a" "PD45781" "dediff"
"23" "PD45890b" "PD45890" "normal"
"24" "PD45890a" "PD45890" "tumour"
"25" "PD45890c" "PD45890" "dediff"
