chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
1	871334	6149122	0.460470176702591	211	0.0782985438719438	1.25509493989391	295013	0.437616387830145	6	3	3	-6.88927771704048
1	6150637	16736546	0.489352260174599	257	0.0590381436150205	1.04175390968591	502864	0.336188871688831	4	2	2	-6.94578650441012
1	16778265	17265366	0.318122710178813	78	0.0950646703133795	1.08520076822694	17991	0.319980134503292	5	4	1	-6.75693351883985
1	17265560	121116953	0.498919249657296	1407	0.0730788439298427	0.982902619292148	3139104	0.312538520566758	4	2	2	-6.73451294125255
1	144013853	249211350	0.498912484680339	1785	0.0723877642581223	0.973355080736262	3376366	0.305199225664363	4	2	2	-6.77954393225673
2	224919	91955303	0.498876392238977	970	0.0754539836607175	1.13299393945908	1995542	0.355739990852818	5	3	2	-7.15072037437544
2	95537572	242839614	0.496671720452859	1560	0.0783801745252327	1.13154636361898	3593931	0.369265960682809	5	3	2	-7.09690596867422
3	386247	81810725	0.429538432018638	814	0.0865043979844334	0.851419726315523	2118866	0.272242973386482	3	2	1	-7.1115420324849
3	97184893	197765432	0.496523984393039	1001	0.0940050828753084	0.813964704469183	2146276	0.263070854510167	3	2	1	-7.57733163891603
4	60303	49063872	0.49889725912205	569	0.0752202650600215	1.02595680158001	905852	0.34975913076744	4	2	2	-7.17173284416302
4	52714511	190878661	0.49889691974129	916	0.0741260940877576	0.938187762009023	1981872	0.297904388873593	4	2	2	-8.20521496181628
5	163205	44809162	0.496651660899626	383	0.0787669285095856	0.986279230298275	646775	0.328563256477949	4	2	2	-6.74003041086789
5	49698180	180687212	0.495304911010844	1080	0.0678746844772108	0.973804538564339	2657938	0.305720724400806	4	2	2	-6.78718939551896
6	335069	57512510	0.3943927659421	1706	0.0836287392269619	1.27986741310683	2012240	0.401710940594956	6	4	2	-6.74447727741237
6	62757987	170892848	0.278276508284757	848	0.105863806720921	0.660703948034372	1749788	0.220077134701547	2	2	0	-7.81045733374843
7	286402	57233554	0.379904577324931	804	0.0846441125030506	1.33249506852258	1193185	0.454345776753655	6	4	2	-6.97706908014764
7	63033440	150878260	0.404557278870507	1157	0.082655481289727	1.28368705563798	2259235	0.412067554534676	6	4	2	-6.77466249939034
7	151038958	158851804	0.204464109438141	129	0.0823197959969806	1.00705832395394	166442	0.349114991765463	4	4	0	-6.76726999271396
8	280241	27509153	0.496659164820295	492	0.0745979663887684	1.0009630601131	537822	0.320745141747475	4	2	2	-6.79501694557487
8	27880826	32613983	0.274429853112389	48	0.110183011845251	0.694247973987001	103382	0.250798807550332	2	2	0	-6.74983987553229
8	33313329	43047593	0.485508864939226	68	0.0768911297203725	0.900239860748238	239872	0.329221644359089	4	2	2	-7.13168788752625
8	49643243	142368150	0.383643537326425	565	0.0840390632750859	1.25314966647825	1288817	0.396204449984616	6	4	2	-6.90384273571993
8	142444526	146105917	0.368500059655115	225	0.0706257105597069	1.64476106234623	295015	0.545073020780051	9	6	3	-6.75266898587822
9	215057	44175088	0.386317982559178	375	0.0884204597999238	0.711154153584711	703007	0.274080810583586	2	2	0	-8.06980103496667
9	65602551	133928345	0.40788587545295	823	0.0875229404404343	0.788376713411035	1627858	0.289111191552788	3	2	1	-7.87725946863479
9	133936334	134064345	0.498547027857657	22	0.1323247759127	0.52931108611449	15463	0.171415270444298	2	1	1	-6.89571282944148
9	134136278	141069978	0.498820750997686	261	0.0819692559159475	1.00368833191888	526307	0.345898043047032	4	2	2	-6.75052349824237
10	323283	38672144	0.219664767406311	457	0.0990698953218625	0.821776148142829	673191	0.272757641698263	3	3	0	-6.78166014868511
10	43292647	47000239	0.498714665970382	53	0.118941402923721	0.881140927779605	60830	0.285474780433951	4	2	2	-7.03482824515789
10	47087474	135271764	0.217292086526853	1247	0.0901658279326388	0.842174842007213	2140235	0.278152792141094	3	3	0	-6.85277908981489
11	192997	2593416	0.462959798736357	226	0.0838972983861787	1.2763812076158	266668	0.412872630015764	6	3	3	-6.84788660086022
11	2606621	51527637	0.49349299879548	741	0.0697520450443486	0.97537453785757	1257319	0.304800014578533	4	2	2	-6.75049451823648
11	55339829	134241094	0.481535357206709	1270	0.0704131509311571	1.00783586722195	2797972	0.32053167218457	4	2	2	-7.08144545476653
12	250239	34182450	0.417044380924425	612	0.0862002259939929	0.824335677180068	1019664	0.273631813104547	3	2	1	-6.75765810914146
12	38715000	133796033	0.421508014038752	1397	0.0840078261105575	0.836052641642057	3034479	0.271640729694768	3	2	1	-6.76729756959811
13	19600475	115064542	0.49889838415054	734	0.0845478451968894	0.972249976405483	1322897	0.314726966081187	4	2	2	-6.78423679869974
14	20248828	107211211	0.498907131286252	1332	0.0740920412492585	0.984893827611098	2456058	0.323673782898125	4	2	2	-6.73918497342937
15	20170011	59524043	0.28018513973305	617	0.106285979974996	0.688355897492853	1218865	0.22906913681653	2	2	0	-6.77677100862444
15	59784493	102315736	0.432069034312055	676	0.0787957605897456	0.84189315882171	1294598	0.271088649218151	3	2	1	-6.83327119332856
16	97354	3079685	0.498894265823652	266	0.074839996062532	1.23355269706468	432880	0.397214818034903	6	3	3	-6.74951767296324
16	3085335	34682193	0.498886584964051	615	0.0783634104263054	1.00424057079765	1154115	0.320430073654211	4	2	2	-6.82871783798725
16	46602819	85706047	0.498888396633311	658	0.0771766780113914	1.0142035537288	1222908	0.326789920778371	4	2	2	-6.96072993345533
16	85720945	90161292	0.496662402291295	219	0.0893092755832627	1.19818075148967	244698	0.385575229761532	6	3	3	-6.81354107809755
17	131709	21826256	0.485734003194455	643	0.0761417009315952	1.04548696748398	1262052	0.32861671208963	4	2	2	-7.20032352503778
17	25621352	81052423	0.498925253645547	1434	0.067297948498148	1.03883218098981	2973606	0.335620311127058	4	2	2	-7.5604160952691
18	120645	15004191	0.421350396050257	222	0.0892078936296694	0.825629094850549	295719	0.26681344858176	3	2	1	-6.74935465401018
18	18533532	77926862	0.445063966380895	430	0.085106610109295	0.815841550231554	822852	0.261570357049876	3	2	1	-7.01725462455141
19	107381	2717880	0.399947483317129	319	0.0875746226058434	1.58322553375383	282657	0.525608014690275	8	5	3	-6.73517347703775
19	2732986	23413937	0.38332351573205	1019	0.0841965992653127	1.33645320281515	1775298	0.444353624796546	6	4	2	-6.84236540097501
19	30018052	59082605	0.384181593944119	1596	0.0890474500693667	1.32252596707398	2448732	0.415948336904798	6	4	2	-6.83223594932106
20	168466	26063560	0.498881233132015	386	0.0763377175229516	0.998003992678131	569211	0.321585835635294	4	2	2	-6.77478401562197
20	29625788	56793764	0.498895925664637	447	0.0729022030707447	0.990685981521923	969089	0.311684822010115	4	2	2	-6.74778046241885
20	56807969	62959184	0.498857769703282	215	0.0661311284229287	1.17295201000802	314620	0.400833988514821	6	3	3	-6.90756725332885
21	9907222	11098863	0.292283410420964	27	0.0950818810424158	0.899141482770788	9363	0.240225824442512	4	3	1	-7.02056903993408
21	14756794	45518131	0.492211924613541	300	0.0863999805808434	0.991467148243557	566690	0.317436449545287	4	2	2	-6.75664454535746
21	45527291	48022375	0.485865662812463	143	0.0664372026873196	1.16131929794371	192515	0.400116531215467	6	3	3	-6.84921546557476
22	17156061	51219006	0.458385979642518	1156	0.0781200517275338	1.21025092719409	1637826	0.407540665765232	6	3	3	-7.2751780653131
